50631.77,104015.96,117338.09,129844.22,132399.76,98680.919,106624.17,121426.51,132743.01,137533.57,118224.35,120921.06,130375.85,137354.37,142093.24,126621.08,127925.31,134475.9,139638.91,142531.28,129497.47,133006.91,139990.58,144201.36,146821.49
102293.03,49629.579,103535.41,120180.22,130116.5,111712.42,101539.63,108448.41,124154.16,133619.37,125330.34,112857.51,122511.14,129364.68,137450.85,130613.64,124981.66,130451.69,135919.02,140069.93,133510.16,129051.96,135233,140530.65,144051.38
117718.24,107480.77,48943.104,103321.25,120384.18,125709.06,112258.78,101886.71,107795.95,125367.6,132233.02,123475.99,113548.79,121761.23,130124.36,136797.48,130010.34,124872.51,128121.45,135513.95,139991.46,134117.79,130335.36,135823.32,142972.06
129931.1,121458.56,102076.33,50211.469,102298.91,134031.38,126682.7,112477.77,99654.264,108038.16,139489.47,129595.65,122456.99,113129.95,120872.65,141236.81,136421.75,130201.83,123995.24,129714.57,143240.59,138642.83,134571.24,129338.23,136385.32
133046.44,131989.74,120787.95,102592.51,49637.508,136759.34,134674.02,125755.32,112864.04,100681.09,142155.89,137511.99,131481.47,122849.4,113049,143884.49,141472.46,136883.52,129502.87,123670.96,144365.6,144398.68,139146.9,134202.59,131266.64
102702.01,111687.67,124379.53,132650.46,136072.46,49840.837,107030.84,116987.45,127740.15,131974.18,100050.74,110101.11,125501.96,132767.75,136773.65,114068.97,120955.67,129648.73,137125.35,140799.24,123975.8,129725.33,136235.29,141409.57,145058.27
105919.23,101801.13,112148.16,125660.03,134254.11,101443.97,49365.416,101288.35,118952.13,129071.72,114196.54,101613.82,111313.02,123500.66,131800.33,122787.17,113184.98,121754.19,129392.71,136894.37,129012.41,123386.42,130416.06,136849.58,142148.62
123411.49,110303.19,98268.699,113635.03,127350.74,121085.01,103577.75,49386.428,102361.38,120649.35,128419.23,113058.4,100896.16,110811.08,125295.25,131261.18,123779.39,114696.92,122468.28,130139.12,136324.93,131969.75,126833.18,132724.55,140987.01
132544.84,125825.37,110357.19,100793.15,114401.65,130978.56,121478.84,103622.14,50154.052,104667.24,135660.57,126701.33,115609.15,97156.933,110851.36,136755.74,131494.75,125071.89,112544.66,122901.17,140399.01,137300.37,131617.28,127151.66,134870.41
137405.68,133932.17,124564.3,108878.28,101790.37,132606.17,130743.31,120436.42,105798.11,49220.798,136971.37,134170.66,125171.56,111270.83,100419.63,140949.7,136914.62,131424.22,123861.5,113705.34,143618.01,140029.27,137056.68,131251.52,127653.4
115815.86,123251.93,130237.28,138186.32,140415.77,101565.37,111574.11,125721.56,133367.66,135691.58,50456.263,106110.8,118469.47,129770.56,132664.7,103043.12,110368.31,124467.18,132806.2,136215.14,115689.57,122536.77,130478.65,136993.27,141836.83
119890.06,113780.52,122647.29,129808.75,136317.67,111184.28,102996.02,111707.68,124056.58,132563.22,104275.19,49482.422,104381.69,118778.89,129663.85,113798.29,102453.85,109304.1,123853.23,132332.65,123978.17,114601.47,122931.27,129690.38,139685.32
130755.66,122223.4,119160.09,123414.75,131434.98,126303.78,110775.05,103795.59,112996.04,124564.72,119975.24,101836.29,49375.529,106528.19,119584.21,125652.55,112950.89,102533.99,110141.78,124192.16,132318.78,124954.82,114101.57,122306.73,131395.81
137478.04,130184.34,121359.71,114357.62,123031.15,134227.17,126514.18,110970.29,100104.14,111962.84,131699.44,119797.87,104507.49,48999.769,103027,133977.33,125894.62,114482.82,102077.09,109652.17,138469.17,131737.69,125824.68,115221.65,125626.58
141310.54,138313.12,129956.8,121287.22,113952.32,137716.54,134069.82,124931.58,109624.36,97680.367,135799.02,130766.85,120313.67,102146.45,49101.892,137087.4,134115.26,127123.57,113039.45,97155.818,141347.7,138161.42,131654.54,125100.04,117781.1
125670.59,130163.89,134764.32,141224.3,142761.27,114623.01,123291.7,129620.47,135569.03,140834.78,100326.18,112269.28,125385.58,133448.55,135896.34,50459.583,101718.35,117323.86,128496.08,130933.67,101873.2,109120.5,124809.32,132793.8,137202.94
129138.88,125526.88,130337.38,136435.51,141494.63,123583.56,116109.26,124450.85,130731.65,137185.54,113739.37,98910.834,115152.43,126145.82,134164.93,104444.57,50559.972,100930.81,118180.3,130399.19,113403.92,103577.87,110824.84,124975.16,135314.44
135510.9,130236.08,124536.76,131731.45,137066.83,129899.95,123807.12,115297.21,123666.38,132396.22,125992.5,111501.87,102347.27,114193.85,126408.59,119495.38,101076.6,51266.787,102084.11,120198.45,125551.24,112592.97,99531.639,111856.72,128170.31
140382.48,137037.29,130515.59,125267.11,131553.61,138810.17,131450.16,123000.35,114484.85,125331.92,136561.85,125970.47,115103.04,100395.97,116111.44,130851.78,120575.62,104601.79,49341.306,105176.26,134619.45,127063.55,116669.99,104011.89,119473.34
142911.28,140495.12,136155.78,129612.93,125024.36,142276.85,138567.35,129535.07,121829.97,114567.23,138807.14,133444.86,126016.38,109588.98,104233.01,132716.55,130816.46,119936.56,107491.61,50015.537,136717.67,133699.7,126723.22,115036.85,105134.63
130760.04,134724.33,140006.03,144463.8,144882.15,126750.12,131993.98,137481.29,140316.01,143430.51,121188.45,125910.39,133267.23,139618.13,141842.23,103101.05,114769.66,125963.79,133006.78,138219.78,49999.867,103763.24,122104.02,132041.47,135129.04
134338.57,128843.75,134433.54,139304.78,142585.11,130020.66,125050.84,130437.02,134868.12,140636.75,123919.91,115481.54,125181.48,131866.12,137962.03,111095.74,103671.04,112502.46,124316.24,133460.31,107057.18,50103.206,103937.58,119971.43,132505.17
140190.74,135260.05,130010.91,135185.57,139370.98,136482.92,130770.85,126820.75,131132.02,136125.72,132049.42,123196.82,115996.97,125345.67,131616.84,125582.88,110492.27,102905.56,113866.26,125942.22,122014.8,103736.74,51281.958,102968.69,121682.46
142509.75,140118.19,135295.99,128299.52,133837.6,140599.63,138393.81,130797.12,125407.62,129684.42,137771.71,132186.24,122051.35,115322.39,123500.59,134925.34,125312.15,110668.1,103717.75,113619.73,131622.48,121121.94,102368.03,50483.868,106640.5
144205.45,142605.32,141096.22,133828.54,130722.85,143502.85,141319.5,138047.36,131909.16,125734.53,141963.02,138955.22,130474.83,123197.6,116113.31,136523.83,133688.31,126260.33,113395.3,104449.62,133646.63,131875.38,120406.89,102986.96,51377.601
