14107,21345,28749,35247,37961,20740,23442,29446,33930,39603,29537,28745,35505,37175,40438,31831,32670,36263,37904,40846,33736,35572,39133,41903,45453
19007,14596,21725,30196,34900,23510,19591,23210,29486,35914,30479,25532,30893,33219,37847,31972,31175,32558,35018,38538,34420,34260,37041,39007,43858
24933,20991,14639,22694,29767,28275,23611,19798,23195,31024,33270,28347,28478,28611,33511,34857,32742,31036,31547,35649,36050,35625,35509,36757,41349
29488,26039,19929,14262,21468,31618,28231,22888,19593,23523,34817,30610,28783,25109,27154,36483,33820,31154,29149,30830,37614,35854,35232,34512,36949
33700,31015,26087,20447,14212,35507,32727,27977,23443,20024,37765,34118,32891,28007,25364,38366,36716,33864,31061,29605,40427,38080,37677,35830,36997
18754,23439,29769,34366,36962,14256,21238,27994,32851,37160,21027,23612,31669,34512,37877,25817,28498,32795,36190,38891,29891,31292,36465,39914,43241
20441,19427,23458,31361,34339,20528,14547,21231,28071,34189,24997,19819,25632,30398,35022,27826,26614,28611,32175,36582,30990,30455,32934,36900,42009
25320,22377,20023,25264,30930,26908,20644,14464,21518,29904,30742,23909,21800,24273,30773,31912,28724,26946,27961,33394,33887,32249,32553,34505,39831
29314,27297,21885,20117,25066,30568,27222,20450,14152,23606,34222,28277,26137,20195,24411,35016,32064,28745,25446,29129,36012,34621,34333,33531,37256
32599,30277,26245,21220,18916,33683,30682,25545,20169,14348,35833,31513,28996,22592,19520,37188,33559,31510,27152,25335,37622,36550,34749,32720,33159
22488,25441,30074,34758,37717,18332,22246,27882,32927,36443,14570,20418,28565,31955,36460,19536,23087,28740,33312,36692,24451,26226,32324,36171,39905
24085,23445,27373,32168,35437,21757,19442,22506,29303,34221,22383,14499,23817,28790,33909,24304,20030,23700,29604,35094,27408,25931,30245,34777,40570
25717,23952,22837,26696,30262,25267,21061,18612,22484,29144,25776,19590,14501,20502,27805,27434,22722,19456,22215,29197,29542,27636,26360,28408,34709
29360,27441,24767,24055,27369,29758,26559,21083,18798,24576,31858,26057,21881,14356,21980,32137,28348,23716,19255,24171,33653,31454,29903,26995,32531
32432,30491,27614,24548,23647,32721,30505,26100,20780,19334,34672,29721,27142,20054,14438,35875,32369,28839,22777,20415,36569,34816,32416,29732,29503
26859,29716,33213,36232,38141,23817,27096,30933,34583,37029,21026,23645,31739,34279,36975,14841,21589,29183,33061,36765,19221,23646,31687,36254,40538
26707,27870,30102,34719,36418,25206,24480,26685,31108,35740,24127,19516,26562,30555,34522,21222,14556,21349,28423,34150,23145,20317,25614,32231,38420
28096,28055,27502,30706,32972,27645,25006,23642,26238,31835,28229,21730,21363,23829,29581,26144,20304,14488,20831,28886,27148,23990,21434,24927,34135
31132,30703,28637,29775,31141,31492,28955,24692,24403,29617,33383,27713,24977,21027,25904,32119,27036,22132,14575,23727,32230,29470,26167,23092,30770
32932,31729,29159,27741,27763,33574,31120,27342,23976,23728,34662,29724,27163,21548,19477,34388,30420,26500,20013,14454,34635,32420,29662,23982,22926
30306,33221,35699,38451,39740,28137,31316,34129,36131,39207,27350,28706,34490,35925,38574,21344,25597,32106,35026,38019,14449,22841,32377,36818,41930
29383,30097,32032,35757,37330,27703,27477,29414,32715,36201,26901,24192,30047,31636,35263,22142,19525,24404,29863,34944,20103,14614,23498,31023,37373
29599,29565,30159,32724,35150,29417,27100,26444,29661,33164,28781,24270,24434,26694,31558,25882,21028,18740,23127,29957,24925,20455,14345,22503,31282
32160,30894,29456,30219,31697,31116,28869,26474,26086,29808,31409,26381,24865,22734,26326,30134,25443,21258,18799,23301,29082,25284,20550,14489,23720
34347,32989,31012,29239,29057,33672,31213,29229,26577,25825,33093,29719,27213,23866,22535,32872,29679,26043,21278,18500,33271,29586,25552,19753,14340
