14107,21345,28749,35247,37961,40769,41966,44776,46453,20740,23442,29446,33930,39603,40723,42818,44994,47357,29537,28745,35505,37175,40438,41978,43230,45696,47598,31831,32670,36263,37904,40846,42408,44687,46898,48324,33736,35572,39133,41903,45453,44166,45402,47337,49137,38139,38582,39026,42456,43887,46213,46649,48232,50095,40463,41559,41904,43633,45930,46838,48523,48610,50075,43047,42765,45104,46061,47020,47693,48793,49733,51449,47310,46164,45497,47169,48918,49347,50022,50534,53054
19007,14596,21725,30196,34900,37920,39768,42619,44418,23510,19591,23210,29486,35914,38105,41466,43532,45628,30479,25532,30893,33219,37847,40011,40787,43984,45403,31972,31175,32558,35018,38538,41181,43366,45491,46257,34420,34260,37041,39007,43858,42038,43948,46191,47594,38569,37237,37425,40470,41435,43718,45704,47087,48496,40753,39922,39986,42180,43875,45362,47242,47151,49274,42701,41520,43646,43936,45433,46215,47496,48259,50600,46662,45213,44653,46105,47335,47487,48905,49893,51507
24933,20991,14639,22694,29767,34385,37284,40636,42227,28275,23611,19798,23195,31024,35335,39018,41688,43939,33270,28347,28478,28611,33511,37090,38765,42369,43982,34857,32742,31036,31547,35649,39116,40520,44077,44667,36050,35625,35509,36757,41349,39937,42332,44644,45671,40054,38327,36817,38929,39634,42061,43088,44847,46819,42030,40806,39691,40356,41606,43508,45467,45196,48494,43844,42893,43293,43186,45006,44857,45808,46689,48989,47512,45376,44181,45277,45986,46304,47594,48849,50860
29488,26039,19929,14262,21468,28679,32658,37862,39597,31618,28231,22888,19593,23523,29624,34112,39137,41062,34817,30610,28783,25109,27154,31494,35764,39839,41344,36483,33820,31154,29149,30830,34499,37859,41713,42253,37614,35854,35232,34512,36949,36995,39858,42410,44044,40392,38555,36887,36490,37082,39242,40602,41763,44191,42575,41260,39452,38801,39634,41748,43062,42739,45784,44640,42910,41845,42008,43188,42667,43708,45033,46831,47653,45360,43425,43579,44023,44145,45045,46712,48701
33700,31015,26087,20447,14212,21028,28436,34824,37036,35507,32727,27977,23443,20024,22951,29372,36328,39396,37765,34118,32891,28007,25364,27749,31385,37129,39608,38366,36716,33864,31061,29605,31545,34710,39512,39863,40427,38080,37677,35830,36997,34496,37444,40675,42571,42403,40848,39135,38236,36770,37980,38793,40814,43044,44751,44025,41467,39836,39472,39958,41462,41990,44103,46572,45121,43844,42835,42593,42600,42735,44008,46126,49419,47539,45435,44616,43816,43231,44562,45490,48314
36422,33945,30397,26250,20492,13555,20573,30129,34023,38747,35932,31587,28221,23177,19035,22808,31517,36033,40536,37232,35109,31510,27859,25029,26505,32693,36817,41014,39015,36434,33271,31150,29920,31282,35851,37349,42165,41010,39812,37357,38124,33794,34874,38606,40463,44932,42897,41402,40197,37826,38012,37332,39032,42079,47033,45670,42449,41306,40320,39912,40415,40603,43097,48695,46745,45188,44298,43278,42774,42002,43295,44609,52442,48782,46459,46050,44815,43200,44389,45303,47692
39929,37489,34033,31268,26436,20363,13555,23569,29679,41595,38992,35198,31990,28602,22904,20013,25575,32551,43356,40112,38198,34756,31976,28094,25024,29102,33988,44822,40977,38987,36916,34264,32107,31218,33972,35342,45085,42935,42414,39490,39205,35151,35667,37555,39212,47816,45162,43567,41812,39261,39699,37476,38557,40848,49983,48001,44885,43493,41776,41452,40891,40235,42722,51114,49121,47245,45962,44262,43533,42254,42997,44288,54373,50659,48466,47849,46307,45240,44964,45559,47179
41707,39890,36776,33786,29383,24854,19509,14105,20486,43756,41190,37608,34702,31072,26916,22783,19722,23923,45746,41078,39283,36668,33811,30657,26588,25665,27114,46293,43226,40929,38233,35705,33260,31502,31120,30673,47086,44590,43081,40334,39679,35278,34601,34728,34721,49249,47308,44757,42592,39667,39016,36873,36488,37261,50489,49290,45408,44333,42197,40773,40537,38743,39594,52437,49497,48260,46780,44693,42950,41722,41555,41798,54201,51766,49174,48049,46638,44782,44352,43040,45087
44924,43177,40044,36851,33413,28839,25173,20881,14046,46272,44252,40581,37616,34446,31008,27663,23537,20900,48243,44688,42725,39206,36623,33802,30197,28322,25688,48182,46310,44107,40531,37777,36157,34030,33018,30144,48524,47031,45739,42972,41434,38202,36530,36555,35332,50813,50115,46989,44207,41425,40241,38403,37953,37976,52770,51130,48238,45859,43974,42533,40995,39538,40504,54175,51187,49533,47767,46081,44963,43072,42571,41738,56541,53142,51030,49728,47929,46664,45224,45012,45607
18754,23439,29769,34366,36962,39703,41207,44107,46173,14256,21238,27994,32851,37160,39612,42114,45197,46853,21027,23612,31669,34512,37877,40595,41701,44786,46856,25817,28498,32795,36190,38891,40845,43640,45787,47442,29891,31292,36465,39914,43241,42851,43900,46408,48586,34283,35070,36718,40471,42276,44461,45269,47009,49791,36639,38481,39131,41405,43846,45072,47059,47270,49649,39606,39604,42348,43820,45322,46586,46817,48654,50451,43862,43856,42806,44802,46792,47665,48445,49374,50940
