7.5,8,7,6,6,7,6,6.5,6,6.5
7,7,6.5,7,8,8.5,6.5,6,6,7
7.5,7,6.5,6.5,8,8,7,5,5.5,7
7,7.5,7,6,7,7.5,7,6,7,7
9,7,6,6,7,7,6.5,6,6.5,5.5
8.5,7.5,6,6.5,7,6.5,7,6,6,6
7.5,7.5,6.5,6.5,6,6.5,6,5.5,6,6
7,9,6.5,6,6.5,6,5.5,5,6,6.5
7,7.5,6,6,8,7,5,5.5,6.5,7
